votereg,presvote20post,race,gender4
1,1,3,1
2,6,1,1
1,6,1,1
1,1,1,2
1,1,1,2
1,1,1,1
1,6,1,1
1,2,1,2
1,1,2,2
1,1,1,1
1,1,3,2
1,1,1,2
1,2,1,1
1,1,1,2
1,6,5,1
1,2,1,1
3,1,2,1
1,2,5,1
1,2,1,1
1,2,1,2
1,2,1,1
2,6,1,2
1,1,1,1
1,2,1,1
1,2,1,2
1,2,1,1
1,1,1,1
1,6,1,2
1,1,3,1
1,1,1,1
1,1,2,1
1,6,1,1
1,1,1,2
1,3,1,1
1,2,1,1
1,2,1,1
1,2,1,1
1,1,1,2
2,2,1,1
1,2,1,2
1,1,1,2
1,1,3,1
1,2,1,2
1,1,1,1
1,2,1,1
1,1,1,1
1,6,2,1
1,2,1,1
1,2,1,1
1,1,1,1
1,2,1,1
2,6,6,2
2,6,1,1
1,2,1,2
1,2,1,2
1,2,3,1
1,1,1,2
1,1,1,2
1,1,1,1
1,1,2,1
1,2,1,1
1,1,1,1
1,1,1,1
1,6,6,1
1,2,1,2
1,2,1,1
1,1,2,1
1,1,1,1
1,2,1,2
1,1,4,1
1,1,1,2
1,1,1,1
1,2,1,1
1,6,1,1
1,1,1,1
1,2,1,1
2,6,3,2
1,1,1,1
1,1,2,2
1,2,1,1
1,2,1,2
1,1,1,2
1,1,1,1
2,6,1,1
1,2,1,1
1,1,1,1
1,2,1,2
1,1,1,1
1,2,1,1
3,6,2,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,2,1,1
1,2,1,1
1,2,1,1
1,2,3,2
1,2,1,2
1,1,2,2
1,1,1,1
1,1,1,1
1,1,6,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,2
1,1,1,1
1,5,1,2
1,1,1,2
1,2,1,2
1,2,1,1
1,2,1,1
1,1,1,2
1,2,1,1
1,6,1,2
1,1,1,1
1,2,1,1
1,1,2,1
2,6,1,2
1,1,3,2
1,1,1,1
1,2,1,1
1,2,1,2
1,1,1,2
1,1,1,1
1,1,2,1
1,1,2,2
1,1,1,2
1,1,2,1
1,1,2,1
1,1,1,2
1,1,1,1
1,2,1,1
2,6,3,1
1,1,7,2
1,2,2,1
1,2,1,1
1,2,1,2
2,6,1,3
1,2,1,1
1,2,1,2
1,1,1,2
1,1,1,1
1,2,1,2
1,1,1,1
1,1,1,2
1,1,3,2
1,6,4,1
1,1,1,1
1,2,5,2
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,2
1,2,1,1
1,2,1,2
1,2,1,1
1,2,1,2
1,2,1,2
1,1,1,1
1,2,1,2
1,2,1,2
1,1,1,2
1,1,3,2
1,1,1,2
1,6,1,2
1,6,1,2
1,1,1,1
1,6,1,1
1,2,2,1
1,2,1,2
1,6,2,2
2,6,1,2
1,2,1,1
1,1,5,2
1,1,3,1
1,6,1,2
1,1,1,1
1,1,1,1
2,6,2,1
1,6,1,2
1,2,1,2
1,1,1,2
2,3,1,2
1,3,1,1
1,2,1,2
1,2,1,1
1,6,2,1
1,1,1,2
1,6,4,2
1,1,2,1
1,2,1,2
1,1,1,2
1,2,7,2
1,1,1,1
1,2,1,1
1,2,1,1
1,2,1,2
1,1,2,1
1,2,1,1
1,1,6,2
1,5,1,1
1,1,1,1
1,1,1,1
1,2,1,2
1,6,1,2
2,6,1,2
1,2,1,2
1,2,1,1
1,1,1,2
2,6,4,1
1,2,1,2
1,2,3,1
1,1,1,2
1,2,1,2
1,1,1,2
1,2,1,2
2,6,1,2
1,1,1,1
1,2,1,2
1,6,6,1
1,2,7,1
1,1,1,2
1,1,2,2
1,1,1,2
1,1,1,2
1,2,4,1
1,1,2,1
1,1,1,1
1,1,1,2
1,1,1,1
1,1,2,2
1,1,1,1
1,1,2,2
1,1,2,2
1,1,1,1
1,1,1,2
1,1,5,2
1,1,1,2
1,2,1,2
1,2,1,2
1,1,2,2
1,2,1,2
1,2,1,2
1,1,1,2
1,6,1,2
1,6,3,2
1,1,2,2
1,2,1,1
1,1,1,2
1,6,1,1
1,1,1,1
1,2,1,1
1,2,1,1
3,6,1,2
1,1,1,1
1,1,1,2
1,2,1,1
1,1,2,2
1,1,1,2
1,1,1,2
1,1,2,2
1,1,2,1
1,1,1,2
1,1,1,2
1,2,3,1
1,1,1,2
1,2,7,1
1,2,3,1
1,2,1,2
1,6,7,1
1,1,1,1
1,1,1,2
1,2,1,1
1,1,1,2
1,2,1,1
1,6,1,2
1,2,1,2
1,1,1,1
1,1,1,2
1,2,1,1
1,2,7,1
1,1,1,1
1,1,1,2
1,1,4,1
1,1,1,2
1,1,2,2
1,2,1,2
1,6,1,1
1,1,2,1
1,2,1,1
1,1,1,1
1,6,1,2
1,1,1,1
1,1,1,1
1,2,1,1
1,3,7,1
1,1,1,2
1,6,1,1
1,6,1,1
1,2,5,2
1,2,1,2
1,1,1,2
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,2,1,2
1,3,1,2
1,1,1,2
1,2,7,2
1,2,1,1
1,2,3,1
1,5,1,1
1,2,1,1
1,1,1,2
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
2,6,1,1
1,1,2,2
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,2,2
1,2,1,1
1,2,1,1
1,2,1,1
1,1,1,1
3,6,2,2
1,1,2,2
1,1,4,1
1,6,1,2
1,1,1,2
1,2,5,1
1,1,1,2
1,2,1,1
1,2,1,1
1,2,1,1
1,1,2,2
2,6,1,2
1,1,1,1
1,2,1,2
1,1,2,1
1,2,7,1
1,2,1,1
1,2,6,1
1,1,1,2
1,2,1,1
1,2,1,1
1,1,1,2
1,3,1,1
1,1,2,1
1,1,1,1
1,1,1,1
2,6,1,2
1,1,1,1
1,2,1,2
1,1,2,1
1,1,1,1
1,5,4,1
1,2,1,1
1,2,1,1
1,1,2,2
1,3,1,2
1,1,1,1
1,6,5,2
1,1,2,2
1,2,1,1
1,4,7,1
1,6,1,1
1,1,1,1
1,2,1,1
1,1,1,2
1,2,4,2
1,1,1,2
1,1,2,1
1,1,1,1
1,6,4,2
1,2,1,1
1,1,1,2
1,2,1,2
1,1,1,1
1,2,1,2
1,1,1,2
1,1,1,2
1,1,7,1
1,2,1,2
1,1,6,2
1,2,1,1
1,1,1,2
1,1,1,1
2,6,1,2
1,1,1,1
2,6,2,2
1,1,1,1
1,2,1,1
1,2,6,2
1,2,1,2
1,2,7,1
1,1,1,1
1,1,2,2
1,2,1,1
1,2,1,1
3,6,2,2
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,2
1,1,1,2
1,1,1,1
1,2,1,1
1,1,2,1
1,2,1,1
1,4,1,2
1,2,1,2
1,1,1,2
1,2,1,1
1,2,1,2
1,2,1,2
1,2,1,2
1,1,3,2
1,1,1,1
1,1,3,1
1,2,1,1
1,2,1,1
1,1,2,1
1,1,1,2
1,2,1,1
1,2,1,2
1,1,1,2
1,2,6,1
1,2,1,2
1,2,1,2
1,1,2,1
1,2,1,1
1,1,1,1
1,2,1,2
1,2,3,1
1,1,1,2
1,1,1,2
2,6,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,1,1,2
1,1,1,2
1,2,1,2
1,1,3,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,2,2
2,6,3,1
1,1,1,1
1,2,1,2
1,2,1,2
1,2,1,2
1,1,1,1
1,6,2,2
1,2,1,2
2,6,1,2
1,1,2,1
1,2,1,1
1,2,1,1
1,1,1,2
1,2,1,4
1,1,1,2
1,1,1,2
1,6,2,2
1,5,7,1
1,2,2,1
1,1,1,2
1,2,1,1
1,1,1,1
1,1,1,2
1,1,1,2
1,5,2,2
1,1,1,1
1,1,6,3
1,2,1,2
1,1,1,1
1,5,6,1
1,4,1,2
1,1,1,2
1,2,1,1
1,2,1,2
1,1,6,2
1,1,1,2
1,1,6,2
1,1,1,1
1,2,1,1
1,1,1,2
1,1,1,1
1,6,5,2
1,1,2,1
1,1,1,2
1,1,2,1
1,1,2,2
1,1,1,2
1,1,2,1
1,2,3,2
2,6,3,2
2,6,1,2
1,1,2,2
1,2,1,1
1,1,1,1
1,2,6,2
1,2,3,2
1,1,3,1
2,6,1,2
1,1,3,2
1,1,1,1
1,1,1,2
1,2,1,1
1,1,1,1
1,1,6,1
1,2,1,2
1,1,1,1
1,2,1,2
1,1,1,2
1,1,1,2
1,2,1,1
1,2,1,1
1,2,3,2
1,2,7,1
1,2,1,2
1,2,1,1
1,2,1,1
1,2,1,1
1,2,1,2
1,2,1,2
1,1,2,2
1,6,1,2
1,1,1,2
1,6,3,2
1,2,1,2
1,1,3,2
1,1,1,1
1,1,1,2
1,2,1,2
2,6,2,2
1,2,1,2
1,3,1,2
3,6,3,2
1,2,1,1
1,5,6,1
1,1,1,1
1,1,1,1
1,2,1,2
1,2,1,1
1,5,1,1
1,1,1,1
1,5,2,1
1,2,7,1
1,1,1,1
1,1,1,1
1,3,1,1
1,2,1,1
1,1,1,2
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
3,6,2,2
1,2,1,1
1,1,1,2
1,1,1,2
1,1,1,2
1,2,1,2
1,1,1,2
1,1,1,1
1,2,6,1
1,2,1,2
1,1,1,2
1,2,1,1
1,1,1,1
1,1,1,1
1,3,1,1
2,6,1,2
1,1,3,2
1,2,1,2
1,2,1,1
1,1,1,2
1,2,1,2
1,1,2,2
1,1,1,1
1,1,3,2
3,1,2,4
1,1,3,2
1,1,1,2
1,6,1,2
1,2,1,1
1,2,1,1
1,2,1,2
1,2,1,1
1,2,1,1
1,1,1,2
1,2,1,2
2,6,4,2
2,6,1,2
2,6,3,2
1,1,1,1
1,2,8,2
1,2,1,2
1,2,1,1
2,6,4,2
1,6,3,2
1,2,1,2
1,1,3,2
1,3,1,1
1,2,1,2
1,2,1,2
2,6,1,2
1,2,1,1
1,2,1,1
1,1,1,1
2,6,6,1
1,2,1,1
1,1,1,2
1,6,1,1
1,6,1,2
1,2,1,2
3,6,1,1
1,1,1,2
1,4,1,1
1,1,1,1
1,2,1,1
2,6,4,2
1,2,5,1
1,5,5,1
1,1,1,1
1,1,1,1
1,6,2,2
1,1,1,2
1,2,1,1
1,2,1,1
1,1,1,1
1,6,4,2
1,1,1,2
1,2,1,1
1,1,1,1
1,2,1,1
1,4,1,1
1,1,1,1
1,1,1,1
1,1,6,2
1,1,1,1
1,2,1,2
1,2,1,2
1,2,1,2
1,2,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,2,1,2
1,2,1,1
1,2,1,2
1,1,1,2
1,2,1,2
1,6,1,1
1,1,1,1
1,1,1,1
1,1,4,1
1,1,1,1
1,1,1,2
1,1,1,2
1,1,1,1
1,1,1,2
1,1,1,2
1,2,1,1
1,5,1,1
1,2,1,1
1,2,1,1
1,1,1,2
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,2
1,2,1,2
1,1,1,1
1,1,1,2
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,2
1,2,1,2
1,2,1,1
1,2,5,1
1,2,3,1
1,6,1,1
1,1,1,1
2,6,3,2
2,6,2,1
1,2,1,2
1,2,1,1
1,1,1,2
1,2,1,1
1,2,1,1
1,2,1,1
1,1,3,2
2,6,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,1,7,1
1,1,1,2
1,2,1,1
1,1,1,1
1,3,5,1
1,2,1,2
1,1,1,1
1,2,1,1
1,1,1,3
2,6,1,1
1,1,1,1
1,2,1,2
1,1,1,2
2,6,3,1
1,2,1,1
1,1,1,2
1,1,1,2
1,6,2,2
1,2,1,1
1,2,1,1
1,1,1,1
1,6,1,1
1,1,1,1
1,1,1,2
1,1,4,1
1,6,1,2
1,2,1,1
1,1,1,1
1,1,1,2
1,1,1,2
1,1,1,2
1,2,1,2
1,1,1,2
1,1,2,2
1,3,6,2
1,1,1,1
1,1,1,1
2,6,1,1
1,1,1,2
1,2,1,1
1,1,1,2
1,1,1,2
1,1,1,1
1,2,1,2
1,1,1,1
1,1,2,2
1,2,1,1
1,1,2,2
1,2,1,2
1,2,1,1
1,1,1,2
1,1,1,2
1,1,1,2
1,2,1,1
1,1,1,2
1,2,1,2
1,1,1,2
1,2,1,2
1,1,1,2
1,1,1,1
1,2,1,2
1,1,1,2
1,2,1,1
1,2,1,2
1,1,1,1
1,2,1,1
1,1,1,2
1,2,3,1
1,2,1,1
1,1,3,2
1,6,1,1
2,1,1,1
1,2,1,1
1,1,1,1
1,1,1,2
1,1,2,2
1,6,1,1
1,6,2,1
1,2,1,1
1,2,1,1
3,6,1,2
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,3
1,2,1,1
1,1,1,1
1,6,3,2
1,1,1,1
1,6,1,2
1,2,1,2
1,2,1,1
1,2,1,1
1,2,3,1
1,2,1,2
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,2
1,2,1,1
1,2,1,1
1,1,1,2
1,2,1,1
1,1,1,1
1,2,1,2
1,2,1,2
1,2,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,2
1,6,2,1
1,1,1,1
1,1,1,2
2,6,2,2
1,2,1,2
1,1,1,1
1,1,1,1
1,1,2,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,6,1,1
1,1,1,2
1,1,2,1
1,2,1,1
1,2,1,2
1,1,1,1
1,2,1,2
1,1,4,2
1,2,3,2
1,1,1,2
1,2,1,1
1,1,1,2
1,1,7,1
1,1,1,1
1,1,1,2
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,3,1,1
1,1,1,2
1,1,1,1
1,1,1,2
1,2,6,1
1,1,1,1
1,2,1,1
1,2,1,1
1,2,1,1
1,1,5,1
1,1,1,2
1,6,2,1
1,1,1,1
1,1,3,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,6,1,2
1,2,1,1
1,1,1,1
1,1,1,2
1,2,1,1
1,2,1,1
1,2,1,1
1,1,3,2
1,1,1,1
1,1,1,1
1,1,1,2
1,2,1,2
1,2,1,2
1,2,1,1
1,2,7,1
1,2,1,1
1,1,1,1
1,2,1,1
1,2,1,2
1,2,1,1
1,4,1,1
1,1,1,2
1,2,1,2
1,1,1,2
2,6,4,2
1,1,1,1
1,1,1,1
1,6,1,1
1,1,1,1
1,1,1,2
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,2
1,2,1,1
1,1,1,1
1,2,1,1
1,5,1,1
1,1,1,1
1,1,5,1
1,2,1,1
1,1,1,1
1,5,1,2
1,1,1,1
1,2,1,1
2,5,4,1
1,1,1,1
1,1,1,2
1,1,3,1
1,2,1,2
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,2,1,1
1,1,1,2
1,2,1,1
1,5,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,1,1,1
1,2,1,1
1,2,1,1
1,2,5,2
1,1,1,1
1,1,1,2
1,1,1,2
1,1,2,2
1,1,1,2
1,1,4,2
1,1,1,1
1,6,1,1
1,1,1,2
1,2,1,1
1,1,1,1
1,2,1,2
1,2,1,1
1,2,1,1
1,1,1,2
1,1,1,2
1,1,1,1
1,2,7,1
1,1,1,2
1,1,2,1
1,1,1,1
1,3,4,1
1,1,1,1
1,2,1,1
1,2,1,1
1,1,1,2
1,1,1,1
1,2,5,1
1,2,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,2,1,1
1,2,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,6,2,2
1,1,3,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,2,3,4
1,1,1,2
1,2,1,2
2,1,8,1
1,2,1,1
1,2,1,1
1,1,1,2
1,2,1,2
1,1,1,1
1,1,1,1
1,1,2,1
1,2,1,1
3,6,1,1
2,6,1,2
1,3,1,1
1,6,1,1
1,1,1,2
1,1,1,2
1,2,7,1
1,6,7,1
1,2,1,1
1,2,1,2
3,6,1,2
1,1,1,1
1,1,1,2
1,1,1,1
1,1,1,2
1,1,1,1
2,6,1,2
1,1,1,2
1,1,1,1
2,2,1,1
1,2,1,1
1,2,4,2
1,4,3,1
1,2,1,1
1,2,1,1
1,5,4,1
1,1,1,2
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,2
1,1,1,1
1,1,1,1
1,1,1,1
1,1,2,2
2,6,4,1
1,1,1,2
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,4,1
1,1,1,2
1,1,1,1
1,6,1,2
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,2
1,2,1,1
1,1,1,1
1,6,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,2
1,1,1,2
1,2,1,1
1,2,1,1
1,1,1,2
1,6,7,1
1,2,1,1
1,6,6,2
1,2,7,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,2
1,2,1,1
1,2,1,1
1,1,7,1
1,1,6,2
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,7,1
1,2,1,1
1,2,1,1
1,2,1,1
1,1,1,2
1,2,1,1
1,2,1,1
1,2,1,1
1,2,1,1
1,2,1,2
1,2,1,2
1,1,1,2
1,2,1,1
1,1,1,2
1,5,6,2
1,2,1,1
1,1,1,1
1,6,1,2
1,2,7,1
1,2,1,1
1,2,1,1
1,2,1,2
1,1,1,2
1,2,7,1
1,1,1,2
1,2,1,2
1,2,1,2
1,2,6,1
1,2,1,1
1,2,1,1
1,1,7,1
2,6,1,2
1,1,1,2
1,1,2,2
1,2,1,2
2,6,1,3
1,2,1,2
1,2,1,1
1,1,1,1
2,6,2,2
1,2,1,2
1,2,1,2
1,2,1,1
1,1,1,2
1,1,1,2
1,6,3,1
1,2,1,1
1,2,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,2
1,6,8,2
1,1,1,2
1,2,1,2
1,1,1,2
1,2,1,2
1,1,1,2
1,1,1,2
1,1,1,2
1,2,1,1
1,1,1,2
1,2,1,1
2,6,4,2
1,1,1,1
1,1,4,2
1,2,1,2
1,1,1,2
1,2,1,1
1,6,1,2
1,1,1,2
1,2,1,1
1,1,1,1
1,3,1,2
1,6,6,2
1,2,1,2
1,2,1,2
1,1,1,2
1,1,1,2
1,1,1,1
1,2,1,1
1,1,1,2
1,1,1,1
1,2,1,2
1,2,1,2
1,2,1,2
1,2,1,2
1,1,1,1
1,2,1,2
1,1,1,2
1,1,1,1
1,1,1,2
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,1,1,2
1,2,7,1
1,1,1,1
1,1,1,1
1,1,1,2
1,2,1,2
1,1,1,1
1,2,1,1
1,1,1,2
1,1,1,1
1,1,1,2
1,1,1,2
1,1,1,1
1,3,1,1
1,2,1,1
1,2,1,2
1,1,1,2
1,2,1,1
1,2,1,1
1,2,6,1
1,2,1,1
1,6,1,1
1,1,1,1
1,2,1,1
1,2,1,2
1,2,1,2
1,1,2,2
1,2,1,2
1,3,1,1
1,1,1,2
1,2,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,2,1,1
1,2,1,1
1,2,1,1
1,1,1,2
1,1,1,2
1,1,1,1
1,1,1,2
1,1,2,2
2,2,8,2
1,2,1,2
1,1,1,1
1,1,1,2
1,1,1,2
1,2,1,1
1,2,1,2
1,1,1,2
1,6,1,1
2,6,1,2
1,2,1,1
1,1,1,2
1,1,1,1
1,2,6,1
1,2,1,2
1,1,2,2
2,6,1,1
1,2,1,2
1,1,1,2
1,1,1,2
1,1,1,1
1,2,1,2
1,1,1,2
1,2,1,2
1,2,1,2
1,1,1,1
1,1,1,2
1,2,1,2
1,1,1,1
1,2,1,1
1,1,1,2
1,2,1,2
1,1,1,2
1,1,1,1
1,1,1,1
1,1,1,2
1,1,1,1
1,1,1,2
1,6,3,1
1,2,1,2
1,1,1,2
1,2,1,1
1,1,1,1
1,2,1,1
1,1,1,1
2,6,1,2
1,1,1,2
1,1,1,2
1,2,1,1
1,1,1,2
1,2,1,2
1,1,1,2
1,2,1,2
1,2,1,2
1,1,1,1
1,2,1,2
1,1,1,2
1,6,1,2
1,2,1,2
1,1,1,2
1,1,7,2
1,2,1,1
1,1,3,1
1,2,1,2
1,1,1,1
2,6,1,2
1,1,1,2
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,1,1,1
1,1,1,2
1,2,1,2
1,1,1,2
1,1,2,2
1,6,1,2
1,1,1,2
1,2,1,2
2,6,1,1
1,1,1,1
1,1,1,2
1,2,1,2
1,1,1,2
1,2,1,2
1,2,1,1
1,1,1,2
1,1,7,1
1,1,1,2
1,1,1,2
1,2,1,1
1,1,1,2
1,2,1,1
1,2,1,2
1,1,1,2
1,1,1,2
1,1,1,1
1,1,1,1
1,2,1,2
1,1,7,2
1,2,1,2
1,2,1,1
1,2,1,2
1,1,2,1
1,1,1,2
1,2,1,1
2,6,2,2
1,2,1,1
1,6,2,2
2,6,1,2
2,6,1,2
1,3,1,1
1,1,1,1
